name,price,image,link,discount,rating,reviews,price_category,value_score,phone_model,ram,storage,camera,battery,color,specification
"Nokia 5310, 2.4"" 16MB & 8MB RAM 1200mAh Battery- Black/Red",26400,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/913446/1.jpg?2798,https://www.jumia.com.ng/5310-2.4-16mb-8mb-ram-1200mah-battery-blackred-nokia-mpg7237858.html,25.0,4.0,22,Low,0.003485,nokia 5310,NOT SPECIFIED,NOT SPECIFIED,Not Specified,1200mAh,Black,"2.4"" 16MB & 8MB RAM Battery Red"
"itel it9320 4G Android Feature Phone, 2.8 Inch Touch Screen, 16GB ROM 2GB RAM, 3000mAh Battery, WiFi Hotspot",44000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/3804914/1.jpg?7554,https://www.jumia.com.ng/it9320-4g-android-feature-phone-2.8-inch-touch-screen-16gb-rom-2gb-ram-3000mah-battery-wifi-hotspot-itel-mpg11974455.html,0.0,0.0,0,Low,0.0,itel 9320,2GB,16GB,Not Specified,3000mAh,Unknown,4G Android Feature Phone 2.8 Inch Touch Screen ROM RAM Battery WiFi Hotspot
"OPPO A57 3GB+32GB 5.2"" 16MP+13MP+16MP 2900mAh Finger Unlock Dual SIM - Black",63000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/0673914/1.jpg?1017,https://www.jumia.com.ng/renewed-oppo-a57-3gb32gb-5.2-16mp13mp16mp-2900mah-finger-unlock-dual-sim-black-419376052.html,40.0,0.0,0,Low,0.0,oppo a57,3GB,32GB,16MP+13MP+16MP,2900mAh,Black,"5.2"" Finger Unlock Dual SIM"
"Vivo Y85 4Gb+64Gb 6.22"" Large Screen Dual Cameras Smartphone 4G 3260Mah-Black",64396,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/7090904/1.jpg?5079,https://www.jumia.com.ng/renewed-vivo-y85-4gb64gb-6.22-large-screen-dual-cameras-smartphone-4g-3260mah-black-409090778.html,55.0,3.8,15,Low,0.000944,vivo y85,4GB,64GB,Dual Camera,3260mAh,Black,"6 6.22"" Large Screen s Smartphone 4G"
"Vivo Y85 4Gb RAM+64Gb ROM 6.22"" Large Screen Dual Cameras Smartphone 4G  3260Mah-Gold",64396,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/8202214/1.jpg?5969,https://www.jumia.com.ng/renewed-vivo-y85-4gb-ram64gb-rom-6.22-large-screen-dual-cameras-smartphone-4g-3260mah-gold-412202842.html,58.0,4.2,5,Low,0.000391,vivo y85,4GB,64GB,Dual Camera,3260mAh,Gold,"RAM 6 ROM 6.22"" Large Screen s Smartphone 4G"
"VILLAON  V25 - 5.0"" 2GB RAM+ 64GB ROM 5MP 3000mAh - BLACK",64999,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/4582914/1.jpg?1394,https://www.jumia.com.ng/villaon-v25-5.0-2gb-ram-64gb-rom-5mp-3000mah-black-419285457.html,19.0,0.0,0,Low,0.0,villaon v25,2GB,64GB,Not Specified,3000mAh,Black,"5.0"" RAM ROM 5MP"
"OPPO A3s 4GB+64GB 6.2"" 8MP+13MP+2MP+8MP 4230mAh Face Unlock Dual SIM - Pink",70500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/5673914/1.jpg?9706,https://www.jumia.com.ng/renewed-oppo-a3s-4gb64gb-6.2-8mp13mp2mp8mp-4230mah-face-unlock-dual-sim-pink-419376543.html,33.0,3.0,2,Low,0.000128,oppo a3s,4GB,64GB,8MP+13MP+2MP+8MP,4230mAh,Pink,"6 6.2"" Face Unlock Dual SIM"
"OPPO A3s 4GB+64GB 6.2"" 8MP+13MP+2MP+8MP 4230mAh Face Unlock Dual SIM - Red",70500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/6573914/1.jpg?9954,https://www.jumia.com.ng/renewed-oppo-a3s-4gb64gb-6.2-8mp13mp2mp8mp-4230mah-face-unlock-dual-sim-red-419375651.html,33.0,3.0,2,Low,0.000128,oppo a3s,4GB,64GB,8MP+13MP+2MP+8MP,4230mAh,Red,"6 6.2"" Face Unlock Dual SIM"
"OPPO A3s 4GB+64GB 6.2"" 8MP+13MP+2MP+8MP 4230mAh Face Unlock Dual SIM - Blue",70500,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/2673914/1.jpg?9578,https://www.jumia.com.ng/renewed-oppo-a3s-4gb64gb-6.2-8mp13mp2mp8mp-4230mah-face-unlock-dual-sim-blue-419376251.html,33.0,0.0,0,Low,0.0,oppo a3s,4GB,64GB,8MP+13MP+2MP+8MP,4230mAh,Blue,"6 6.2"" Face Unlock Dual SIM"
Oppo MAMBA CERTIFIED  A3s 64G Long Battery 6.2'' 13MP 4230mAh Facial Unlock DUAL SIM Pink,73000,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/6894814/1.jpg?3905,https://www.jumia.com.ng/oppo-mamba-certified-a3s-64g-long-battery-6.2-13mp-4230mah-facial-unlock-dual-sim-pink-418498679.html,39.0,3.7,16,Low,0.000862,oppo a3s,NOT SPECIFIED,NOT SPECIFIED,Not Specified,4230mAh,Pink,Oppo MAMBA 64G Long Battery 6.2'' 13MP Facial Unlock DUAL SIM
